nthreads,energy,time,power,speedup
1,19580.5,181.403,107.939,1
2,9776.4,88.9482,109.911,2.03942
3,6496.85,58.6526,110.768,3.09284
4,4918.35,44.0079,111.761,4.12206
5,3993.3,35.4233,112.731,5.12101
6,3364.6,29.7524,113.087,6.09709
7,2897.85,25.148,115.232,7.21342
8,2619.15,22.6505,115.633,8.00879
9,2289.95,19.5984,116.844,9.25601
10,2078.25,17.6233,117.926,10.2934
11,1900,16.0396,118.457,11.3097
12,1790,15.0013,119.323,12.0925
13,1690.9,14.0347,120.48,12.9253
14,1580.8,13.0376,121.249,13.9138
15,1493.35,12.1872,122.534,14.8847
16,1375.9,11.2006,122.842,16.1958
17,1288.4,10.4384,123.429,17.3784
18,1231.1,9.8439,125.062,18.428
19,1176.6,9.33622,126.025,19.43
20,1156.05,9.186,125.849,19.7478
21,1069.8,8.44222,126.72,21.4876
22,1061.55,8.33303,127.391,21.7692
23,998.7,7.79473,128.125,23.2725
24,970.2,7.5578,128.371,24.0021
25,946.9,7.27467,130.164,24.9363
26,909.3,6.93143,131.185,26.1711
27,866.3,6.59882,131.281,27.4902
28,898.35,6.90074,130.182,26.2875
29,812.65,6.20945,130.873,29.214
30,796.15,5.99988,132.694,30.2344
31,766.75,5.73462,133.705,31.633
32,748.8,5.58882,133.982,32.4582
33,752,5.58749,134.586,32.4659
34,713.25,5.25055,135.843,34.5493
35,701.1,5.14858,136.173,35.2336
36,690.2,5.09671,135.421,35.5922
37,668.05,4.8728,137.098,37.2277
38,664.55,4.83398,137.475,37.5266
39,649.5,4.68904,138.514,38.6866
40,622.4,4.42694,140.594,40.9771
41,629.4,4.47761,140.566,40.5134
42,605.45,4.27743,141.545,42.4093
43,597.1,4.19947,142.185,43.1966
44,594.9,4.15925,143.031,43.6144
45,587.8,4.03093,145.822,45.0028
46,588.25,4.03194,145.898,44.9915
47,547.75,3.80439,143.978,47.6825
48,553.1,3.82319,144.67,47.4481
49,534.9,3.68897,145,49.1744
50,527.05,3.64586,144.561,49.7559
51,522.55,3.54151,147.55,51.2219
52,518.95,3.4942,148.518,51.9155
53,508.7,3.39,150.059,53.5112
54,515.4,3.38013,152.479,53.6675
55,518.65,3.39032,152.98,53.5062
56,498.8,3.23761,154.064,56.0299
57,485.45,3.20331,151.546,56.6299
58,490.25,3.25316,150.7,55.7621
59,479.25,3.1971,149.901,56.7399
60,455.65,3.05507,149.146,59.3777
61,450.95,2.99659,150.488,60.5365
62,454.75,3.04475,149.355,59.5789
63,440.1,2.89364,152.092,62.6902
64,430.85,2.84408,151.49,63.7827
65,423.25,2.79653,151.348,64.8672
66,435.95,2.87213,151.786,63.1597
67,420.55,2.80121,150.132,64.7588
68,411.15,2.69028,152.828,67.429
69,417.5,2.74277,152.218,66.1386
70,402.25,2.63181,152.842,68.9271
71,404.9,2.69622,150.173,67.2805
72,401.6,2.62867,152.777,69.0094
73,401.25,2.6254,152.834,69.0954
74,399.05,2.62227,152.177,69.1778
75,398.1,2.62596,151.602,69.0806
76,407.65,2.62424,155.34,69.1259
77,401.45,2.62721,152.805,69.0478
78,402.65,2.62798,153.217,69.0275
79,399.1,2.62411,152.09,69.1293
80,397.5,2.62064,151.681,69.2209
81,400.05,2.628,152.226,69.027
82,393.7,2.61941,150.301,69.2534
83,394.7,2.62153,150.561,69.1974
84,363.5,2.41191,150.71,75.2113
85,357.5,2.35587,151.749,77.0004
86,364.75,2.37747,153.419,76.3009
87,356.1,2.35234,151.381,77.116
88,354.35,2.36102,150.083,76.8325
89,379.3,2.50779,151.249,72.3358
90,404.8,2.62164,154.407,69.1945
91,349.4,2.30506,151.58,78.6977
92,342.1,2.22496,153.756,81.5309
93,340.2,2.23785,152.021,81.0613
94,332.65,2.17696,152.805,83.3286
95,322.55,2.15997,149.331,83.984
96,323.3,2.1542,150.079,84.209
97,309.1,2.04592,151.081,88.6657
98,313.3,2.09972,149.21,86.3939
99,304.35,2.03476,149.575,89.152
100,301.45,2.05222,146.89,88.3935
101,297.85,1.98155,150.312,91.546
102,305.2,2.03225,150.178,89.2621
103,314.95,2.1062,149.535,86.1281
104,317.35,2.08211,152.417,87.1246
105,319.1,2.09699,152.17,86.5064
